,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
11464,70820632387020,MERCADO CENTRAL,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,SAN JERONIMO 2179,
11465,70820632387021,MONICA WAGNER,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,MARCIAL CANDIOTI 3895,
11466,70820632387022,MONTES,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,GRAL. PAZ 6765,
11467,70820632387023,MORALES,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Av. Aristóbulo del Valle 5827,
11468,70820632387024,NAITO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,MENDOZA 4098,
11469,70820632387025,ORTEGA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,BLAS PARERA 8374,
11470,70820632387026,PACCE,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,ARISTBULO DEL VALLE 4900,
11471,70820632387027,PALOMINO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,FACUNDO ZUVIRIA 6833,
11472,70820632387028,PARDO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,9 DE JULIO 3443,
11473,70820632387029,PASTEUR,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,MARCIAL CANDIOTTI 3499,
11474,70820632387030,PEDRO  ANDRS KORNIJUK,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,AV. FACUNDO ZUVIRIA 5323,
11475,70820632387031,PEIRO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,AV. FACUNDO ZUVIRIA 6253,
11476,70820632387032,PELLEGRINI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,BOULEVARD PELLEGRINI 3465,
11477,70820632387033,PESCETTI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,PADRE GENESIO 1830,
11481,70820492387185,SEIB,82,SANTA FE,49,GENERAL OBLIGADO,82049060000,FLORENCIA,3516,MORENO 744,
11482,70820702387186,BURGI,82,SANTA FE,70,LAS COLONIAS,82070070000,FRANCK,3009,SAAVEDRA 2053,
11483,70820702387187,IRENE ALBRECHT,82,SANTA FE,70,LAS COLONIAS,82070070000,FRANCK,3009,MIGUEL MANFREDI 2021,
11484,70820702387188,MARIANO,82,SANTA FE,70,LAS COLONIAS,82070070000,FRANCK,3009,SAN MARTIN 2199,
11485,70820212387189,TRAVERSO,82,SANTA FE,21,CASTELLANOS,82021200000,FRONTERA,2438,CALLE 1 799,
11486,70821052387190,TELLO,82,SANTA FE,105,SAN JERÓNIMO,82105120000,GABOTO,2208,CASTELLANO 840,
11487,70821052387191,TOLOSSA,82,SANTA FE,105,SAN JERÓNIMO,82105120000,GABOTO,2208,ZABALA 702,
11488,70821052387192,CASTINI,82,SANTA FE,105,SAN JERÓNIMO,82105130000,GALVEZ,2252,JORGE NEWBERY 447,
11491,70820702387295,DOBLER,82,SANTA FE,70,LAS COLONIAS,82070190000,PROGRESO,3023,25 DE MAYO 377,
11492,70820702387296,SIOLI,82,SANTA FE,70,LAS COLONIAS,82070190000,PROGRESO,3023,INDENDENCIA 69,
11493,70820212387297,FARMACIA ABOAL,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,ARISTOBULO DEL VALLE 1171,
11494,70820212387298,ABRATE,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,LUIS FANTI 102,
11495,70820212387299,BERNINI,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,AV. LUIS  FANTI 1505,
11496,70820212387300,BLATTER,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,AV. SANTA FE 1460,
11497,70820212387301,BRUERA,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,TUCUMAN 130,
11498,70820212387302,CAIMI,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,SAN MARTIN 345,
11501,70820632387034,RANZUGLIA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,BLAS PARERA 9278,
11502,70820632387035,RITA MARTINEZ,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,AV. ARISTOBULO DEL VALLE 10396,
11503,70820632387036,ROJAS,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,BLAS PARERA 7202,
